,state,action_space,reward,Q,action
0,"[0, 0]",u,0,0.0,0
1,"[0, 0]",r,0,0.0,2
2,"[1, 0]",r,0,0.0,2
3,"[2, 0]",l,0,0.0,3
4,"[1, 0]",r,0,0.0,2
5,"[2, 0]",u,0,0.0,0
6,"[2, 0]",l,0,0.0,3
7,"[1, 0]",u,0,0.0,0
8,"[1, 0]",d,0,0.0,1
9,"[1, 1]",d,-1,-0.01,1
10,"[0, 0]",d,0,0.0,1
11,"[0, 1]",r,0,0.0,2
12,"[1, 1]",r,0,0.0,2
13,"[2, 1]",d,0,0.0,1
14,"[2, 2]",u,0,0.0,0
15,"[2, 1]",l,0,0.0,3
16,"[1, 1]",l,0,0.0,3
17,"[0, 1]",u,0,0.0,0
18,"[0, 0]",r,0,0.0,2
19,"[1, 0]",r,0,0.0,2
20,"[2, 0]",l,0,0.0,3
21,"[1, 0]",l,0,0.0,3
22,"[0, 0]",d,0,0.0,1
23,"[0, 1]",u,0,0.0,0
24,"[0, 0]",r,0,0.0,2
25,"[1, 0]",u,0,0.0,0
26,"[1, 0]",d,0,0.0,1
27,"[1, 1]",r,0,0.0,2
28,"[2, 1]",r,-1,-0.01,2
29,"[0, 0]",u,0,0.0,0
30,"[0, 0]",r,0,0.0,2
31,"[1, 0]",l,0,0.0,3
32,"[0, 0]",l,0,0.0,3
33,"[0, 0]",u,0,0.0,0
34,"[0, 0]",u,0,0.0,0
35,"[0, 0]",r,0,0.0,2
36,"[1, 0]",r,0,0.0,2
37,"[2, 0]",l,0,0.0,3
38,"[1, 0]",l,0,0.0,3
39,"[0, 0]",d,0,0.0,1
40,"[0, 1]",u,0,0.0,0
41,"[0, 0]",d,0,0.0,1
42,"[0, 1]",l,0,0.0,3
43,"[0, 1]",u,0,0.0,0
44,"[0, 0]",u,0,0.0,0
45,"[0, 0]",l,0,0.0,3
46,"[0, 0]",r,0,0.0,2
47,"[1, 0]",u,0,0.0,0
48,"[1, 0]",r,0,0.0,2
49,"[2, 0]",d,0,0.0,1
50,"[2, 1]",d,0,0.0,1
51,"[2, 2]",l,-1,-0.01,3
52,"[0, 0]",l,0,0.0,3
53,"[0, 0]",r,0,0.0,2
54,"[1, 0]",u,0,0.0,0
55,"[1, 0]",r,0,0.0,2
56,"[2, 0]",d,0,0.0,1
57,"[2, 1]",d,0,0.0,1
