,state,action_space,reward,Q,action
0,"[0, 0]",r,0,0.0,2
1,"[1, 0]",u,0,0.0,0
2,"[1, 0]",r,0,0.0,2
3,"[2, 0]",d,0,0.0,1
4,"[2, 1]",l,0,0.0,3
5,"[1, 1]",r,0,0.0,2
6,"[2, 1]",l,0,0.0,3
7,"[1, 1]",l,0,0.0,3
8,"[0, 1]",l,0,0.0,3
9,"[0, 1]",d,-1,-0.01,1
10,"[0, 0]",r,0,0.0,2
11,"[1, 0]",u,0,0.0,0
12,"[1, 0]",d,0,0.0,1
13,"[1, 1]",u,0,0.0,0
14,"[1, 0]",l,0,0.0,3
15,"[0, 0]",u,0,0.0,0
16,"[0, 0]",r,0,0.0,2
17,"[1, 0]",u,0,0.0,0
18,"[1, 0]",d,0,0.0,1
19,"[1, 1]",u,0,0.0,0
20,"[1, 0]",r,0,0.0,2
21,"[2, 0]",u,0,0.0,0
22,"[2, 0]",d,0,0.0,1
23,"[2, 1]",r,-1,-0.01,2
24,"[0, 0]",d,0,0.0,1
25,"[0, 1]",r,0,0.0,2
26,"[1, 1]",r,0,0.0,2
27,"[2, 1]",d,0,0.0,1
28,"[2, 2]",l,-1,-0.01,3
29,"[0, 0]",r,0,0.0,2
30,"[1, 0]",d,0,0.0,1
31,"[1, 1]",r,0,0.0,2
32,"[2, 1]",d,0,0.0,1
33,"[2, 2]",r,0,0.0,2
34,"[3, 2]",l,0,0.0,3
35,"[2, 2]",r,0,0.0,2
36,"[3, 2]",u,-1,-0.01,0
37,"[0, 0]",d,0,0.0,1
38,"[0, 1]",u,0,0.0,0
39,"[0, 0]",l,0,0.0,3
40,"[0, 0]",u,0,0.0,0
41,"[0, 0]",d,0,0.0,1
42,"[0, 1]",r,0,0.0,2
43,"[1, 1]",u,0,0.0,0
44,"[1, 0]",l,0,0.0,3
45,"[0, 0]",r,0,0.0,2
46,"[1, 0]",d,0,0.0,1
47,"[1, 1]",r,0,0.0,2
48,"[2, 1]",d,0,0.0,1
49,"[2, 2]",r,0,0.0,2
50,"[3, 2]",r,1,0.01,2
51,"[0, 0]",l,0,0.0,3
52,"[0, 0]",l,0,0.0,3
53,"[0, 0]",d,0,0.0,1
54,"[0, 1]",r,0,0.0,2
55,"[1, 1]",r,0,0.0,2
56,"[2, 1]",d,0,0.0,1
57,"[2, 2]",d,0,0.0,1
58,"[2, 3]",l,0,0.0,3
59,"[1, 3]",d,0,0.0,1
60,"[1, 4]",d,0,0.0,1
61,"[1, 4]",r,-1,-0.01,2
62,"[0, 0]",l,0,0.0,3
63,"[0, 0]",d,0,0.0,1
64,"[0, 1]",d,-1,-0.0199,1
65,"[0, 0]",r,0,0.0,2
66,"[1, 0]",u,0,0.0,0
67,"[1, 0]",d,0,0.0,1
68,"[1, 1]",d,-1,-0.01,1
69,"[0, 0]",l,0,0.0,3
70,"[0, 0]",l,0,0.0,3
71,"[0, 0]",l,0,0.0,3
72,"[0, 0]",l,0,0.0,3
73,"[0, 0]",l,0,0.0,3
74,"[0, 0]",d,0,0.0,1
75,"[0, 1]",l,0,0.0,3
76,"[0, 1]",r,0,0.0,2
77,"[1, 1]",d,-1,-0.0199,1
78,"[0, 0]",r,0,0.0,2
79,"[1, 0]",r,0,0.0,2
80,"[2, 0]",l,0,0.0,3
81,"[1, 0]",d,0,0.0,1
82,"[1, 1]",l,0,0.0,3
83,"[0, 1]",r,0,0.0,2
84,"[1, 1]",r,0,0.0,2
85,"[2, 1]",l,0,0.0,3
86,"[1, 1]",u,0,0.0,0
87,"[1, 0]",u,0,0.0,0
88,"[1, 0]",r,0,0.0,2
89,"[2, 0]",u,0,0.0,0
90,"[2, 0]",r,-1,-0.01,2
91,"[0, 0]",d,0,0.0,1
92,"[0, 1]",l,0,0.0,3
93,"[0, 1]",l,0,0.0,3
94,"[0, 1]",r,0,0.0,2
95,"[1, 1]",u,0,0.0,0
96,"[1, 0]",r,0,0.0,2
97,"[2, 0]",d,0,0.0,1
98,"[2, 1]",r,-1,-0.0199,2
99,"[0, 0]",d,0,0.0,1
100,"[0, 1]",r,0,0.0,2
101,"[1, 1]",l,0,0.0,3
102,"[0, 1]",u,0,0.0,0
103,"[0, 0]",u,0,0.0,0
104,"[0, 0]",d,0,0.0,1
105,"[0, 1]",u,0,0.0,0
106,"[0, 0]",u,0,0.0,0
107,"[0, 0]",u,0,0.0,0
108,"[0, 0]",l,0,0.0,3
109,"[0, 0]",r,0,0.0,2
110,"[1, 0]",r,0,0.0,2
111,"[2, 0]",d,0,0.0,1
112,"[2, 1]",u,0,0.0,0
113,"[2, 0]",d,0,0.0,1
114,"[2, 1]",d,0,0.0,1
115,"[2, 2]",u,0,0.0,0
116,"[2, 1]",u,0,0.0,0
117,"[2, 0]",u,0,0.0,0
118,"[2, 0]",d,0,0.0,1
119,"[2, 1]",l,0,0.0,3
120,"[1, 1]",l,0,0.0,3
121,"[0, 1]",u,0,0.0,0
122,"[0, 0]",l,0,0.0,3
123,"[0, 0]",u,0,0.0,0
124,"[0, 0]",r,0,0.0,2
125,"[1, 0]",r,0,0.0,2
126,"[2, 0]",d,0,0.0,1
127,"[2, 1]",u,0,0.0,0
128,"[2, 0]",l,0,0.0,3
129,"[1, 0]",l,0,0.0,3
130,"[0, 0]",d,0,0.0,1
131,"[0, 1]",r,0,0.0,2
132,"[1, 1]",r,0,0.0,2
133,"[2, 1]",u,0,0.0,0
134,"[2, 0]",l,0,0.0,3
135,"[1, 0]",l,0,0.0,3
136,"[0, 0]",u,0,0.0,0
137,"[0, 0]",d,0,0.0,1
