,0,1,2,3
"[0, 0]",2.637223493474056e-07,0.00012234078155913796,4.080463047000001e-12,4.947545414432201e-07
"[1, 0]",0.0,0.0,3.448255500020208e-07,0.0
"[2, 0]",0.0,0.0003727786460223408,-0.01,0.0
"[2, 1]",0.0,0.03884006960282385,-0.03940399,6.93722462027591e-05
"[1, 1]",4.4007199190251415e-10,-0.03940399,0.006849715152766272,1.527450897605888e-06
"[0, 1]",1.2671986420984902e-08,-0.03940399,0.0009982717149011615,8.988074146733274e-06
terminal,0.0,0.0,0.0,0.0
"[2, 2]",0.00010985856063760736,0.0,0.171359737175035,-0.0490099501
"[3, 2]",-0.03940399,2.895895468029732e-05,0.5341192248302064,0.003120670351870986
"[2, 3]",0.0,0.0,8.100000000000001e-07,0.0
"[1, 3]",0.0,0.0,0.0,0.0
"[1, 4]",0.0,0.0,-0.01,0.0
"[3, 3]",0.007123124720371236,0.0,0.0,0.0
"[4, 3]",0.0,-0.01,0.0,0.0
