,state,action_space,reward,Q,action
0,"[0, 0]",d,0,0.0,1
1,"[0, 1]",r,0,0.0,2
2,"[1, 1]",l,0,0.0,3
3,"[0, 1]",u,0,0.0,0
4,"[0, 0]",l,0,0.0,3
5,"[0, 0]",l,0,0.0,3
6,"[0, 0]",u,0,0.0,0
7,"[0, 0]",l,0,0.0,3
8,"[0, 0]",d,0,0.0,1
9,"[0, 1]",d,-1,-0.01,1
10,"[0, 0]",u,0,0.0,0
11,"[0, 0]",r,0,0.0,2
12,"[1, 0]",u,0,0.0,0
13,"[1, 0]",r,0,0.0,2
14,"[2, 0]",u,0,0.0,0
15,"[2, 0]",d,0,0.0,1
16,"[2, 1]",l,0,0.0,3
17,"[1, 1]",r,0,0.0,2
18,"[2, 1]",r,-1,-0.01,2
19,"[0, 0]",l,0,0.0,3
20,"[0, 0]",r,0,0.0,2
21,"[1, 0]",r,0,0.0,2
22,"[2, 0]",u,0,0.0,0
23,"[2, 0]",d,0,0.0,1
24,"[2, 1]",l,0,0.0,3
25,"[1, 1]",d,-1,-0.01,1
26,"[0, 0]",u,0,0.0,0
27,"[0, 0]",l,0,0.0,3
28,"[0, 0]",l,0,0.0,3
29,"[0, 0]",l,0,0.0,3
30,"[0, 0]",u,0,0.0,0
31,"[0, 0]",l,0,0.0,3
32,"[0, 0]",d,0,0.0,1
33,"[0, 1]",l,0,0.0,3
34,"[0, 1]",l,0,0.0,3
35,"[0, 1]",l,0,0.0,3
36,"[0, 1]",r,0,0.0,2
37,"[1, 1]",l,0,0.0,3
38,"[0, 1]",r,0,0.0,2
39,"[1, 1]",l,0,0.0,3
40,"[0, 1]",u,0,0.0,0
41,"[0, 0]",r,0,0.0,2
42,"[1, 0]",l,0,0.0,3
43,"[0, 0]",r,0,0.0,2
44,"[1, 0]",l,0,0.0,3
45,"[0, 0]",d,0,0.0,1
46,"[0, 1]",l,0,0.0,3
47,"[0, 1]",u,0,0.0,0
48,"[0, 0]",l,0,0.0,3
49,"[0, 0]",u,0,0.0,0
50,"[0, 0]",r,0,0.0,2
51,"[1, 0]",l,0,0.0,3
52,"[0, 0]",u,0,0.0,0
53,"[0, 0]",r,0,0.0,2
54,"[1, 0]",r,0,0.0,2
55,"[2, 0]",r,-1,-0.01,2
56,"[0, 0]",l,0,0.0,3
57,"[0, 0]",r,0,0.0,2
58,"[1, 0]",d,0,0.0,1
59,"[1, 1]",l,0,0.0,3
60,"[0, 1]",l,0,0.0,3
61,"[0, 1]",l,0,0.0,3
62,"[0, 1]",l,0,0.0,3
63,"[0, 1]",u,0,0.0,0
64,"[0, 0]",d,0,0.0,1
65,"[0, 1]",r,0,0.0,2
66,"[1, 1]",u,0,0.0,0
67,"[1, 0]",r,0,0.0,2
68,"[2, 0]",l,0,0.0,3
69,"[1, 0]",d,0,0.0,1
70,"[1, 1]",l,0,0.0,3
71,"[0, 1]",r,0,0.0,2
72,"[1, 1]",l,0,0.0,3
73,"[0, 1]",u,0,0.0,0
74,"[0, 0]",r,0,0.0,2
75,"[1, 0]",l,0,0.0,3
76,"[0, 0]",r,0,0.0,2
77,"[1, 0]",u,0,0.0,0
78,"[1, 0]",u,0,0.0,0
79,"[1, 0]",d,0,0.0,1
80,"[1, 1]",l,0,0.0,3
81,"[0, 1]",l,0,0.0,3
82,"[0, 1]",u,0,0.0,0
83,"[0, 0]",r,0,0.0,2
84,"[1, 0]",l,0,0.0,3
85,"[0, 0]",l,0,0.0,3
86,"[0, 0]",l,0,0.0,3
87,"[0, 0]",d,0,0.0,1
88,"[0, 1]",u,0,0.0,0
89,"[0, 0]",d,0,0.0,1
90,"[0, 1]",l,0,0.0,3
91,"[0, 1]",l,0,0.0,3
92,"[0, 1]",l,0,-9e-05,3
93,"[0, 1]",d,-1,-0.0199,1
94,"[0, 0]",r,0,0.0,2
95,"[1, 0]",r,0,0.0,2
96,"[2, 0]",l,0,0.0,3
97,"[1, 0]",l,0,0.0,3
98,"[0, 0]",u,0,0.0,0
99,"[0, 0]",d,0,0.0,1
